name,abbr,interval,order,ageBase,ageTop,red,green,blue
Phanerozoic,Phan,eon,1,541,0,154,217,221
Proterozoic,Prot,eon,2,2500,541,247,53,99
Archaean,Arch,eon,3,4000,2500,240,4,127
Hadean,Had,eon,4,4600,4000,174,2,126
Holocene,Holo,epoch,1,0.012,0,254,242,224
Pleistocene,Pleisto,epoch,2,2.58,0.012,255,242,174
Pliocene,Plio,epoch,3,5.333,2.58,255,255,153
Miocene,Mio,epoch,4,23.03,5.333,255,255,0
Oligocene,Oligo,epoch,5,33.9,23.03,253,192,122
Eocene,Eo,epoch,6,56,33.9,253,180,108
Paleocene,Paleo,epoch,7,66,56,253,167,95
Late Cretaceous,lK,epoch,8,100.5,66,166,216,74
Early Cretaceous,eK,epoch,9,145,100.5,140,205,87
Late Jurassic,lJur,epoch,10,163.5,145,179,227,238
Middle Jurassic,mJur,epoch,11,174.1,163.5,128,207,216
Early Jurassic,eJur,epoch,12,201.3,174.1,66,174,208
Late Triassic,lTr,epoch,13,237,201.3,189,140,195
Middle Triassic,mTr,epoch,14,247.2,237,177,104,177
Early Triassic,eTr,epoch,15,251.902,247.2,152,57,153
Lopingian,Lo,epoch,16,259.51,251.902,251,167,148
Guadalupian,Guad,epoch,17,273.01,259.51,251,116,92
Cisuralian,Cis,epoch,18,298.9,273.01,239,88,69
Late Pennsylvanian,lPenn,epoch,19,307,298.9,191,208,186
Middle Pennsylvanian,mPenn,epoch,20,315.2,307,166,199,183
Early Pennsylvanian,ePenn,epoch,21,323.2,315.2,140,190,180
Late Mississippian,lMiss,epoch,22,330.9,323.2,179,190,108
Middle Mississippian,mMiss,epoch,23,346.7,330.9,153,180,108
Early Mississippian,eMiss,epoch,24,358.9,346.7,128,171,108
Late Devonian,lDev,epoch,25,382.7,358.9,241,225,157
Middle Devonian,mDev,epoch,26,393.3,382.7,241,200,104
Early Devonian,eDev,epoch,27,419.2,393.3,229,172,77
Pridoli,Pri,epoch,28,423,419.2,230,245,225
Ludlow,Lud,epoch,29,427.4,423,191,230,207
Wenlock,Wen,epoch,30,433.4,427.4,179,225,194
Llandovery,Llan,epoch,31,443.07,433.4,153,215,179
Late Ordovician,lOrd,epoch,32,458.18,443.07,127,202,147
Middle Ordovician,mOrd,epoch,33,471.26,458.18,77,180,126
Early Ordovician,eOrd,epoch,34,486.85,471.26,26,157,111
Furongian,Fur,epoch,35,497,486.85,179,224,149
Series 3,Ser3,epoch,36,509,497,166,207,134
Series 2,Ser2,epoch,37,521,509,153,192,120
Terreneuvian,Terr,epoch,38,541,521,140,176,108
Cenozoic,Cz,era,1,66,0,242,249,29
Mesozoic,Mz,era,2,251.902,66,103,197,202
Paleozoic,Pz,era,3,541,251.902,153,192,144
Neoproterozoic,NeoProt,era,4,1000,541,254,179,66
Mesoproterozoic,MesoProt,era,5,1600,1000,253,180,98
Paleoproterozoic,PaleoProt,era,6,2500,1600,247,67,112
Neoarchaean,Neoarch,era,7,2800,2500,249,155,193
Mesoarchean,Mesoarch,era,8,3200,2800,247,104,169
Paleoarchean,Paleoarch,era,9,3600,3200,244,68,159
Eoarchean,Eoarch,era,10,4000,3600,218,3,127
Quaternary,Quat,period,1,2.58,0,249,249,127
Neogene,Ng,period,2,23.03,2.58,255,230,25
Paleogene,Pg,period,3,66,23.03,253,154,82
Cretaceous,K,period,4,145,66,127,198,78
Jurassic,Jur,period,5,201.3,145,52,178,201
Triassic,Tri,period,6,251.902,201.3,129,43,146
Permian,Perm,period,7,298.9,251.902,240,64,40
Pennsylvanian,Penn,period,8,323.2,298.9,153,194,181
Mississippian,Miss,period,9,358.9,323.2,103,143,102
Carboniferous,Carb,period,10,358.9,298.9,103,165,153
Devonian,Dev,period,11,419.2,358.9,203,140,55
Silurian,Sil,period,12,443.07,419.2,179,225,182
Ordovician,Ord,period,13,486.85,443.07,0,146,112
Cambrian,Cam,period,14,541,486.85,127,160,86
Ediacaran,Ed,period,15,635,541,254,217,106
Cryogenian,Cryo,period,16,720,635,254,204,92
Tonian,Ton,period,17,1000,720,254,191,78
Stenian,Sten,period,18,1200,1000,254,217,154
Ectasian,Ect,period,19,1400,1200,253,204,138
Calymmian,Caly,period,20,1600,1400,253,192,122
Statherian,Stath,period,21,1800,1600,248,117,167
Orosirian,Oro,period,22,2050,1800,247,104,152
Rhyacian,Rhy,period,23,2300,2050,247,91,137
Siderian,Sid,period,24,2500,2300,247,79,124
Meghalayan,Meg,stage,1,0.0043,0,254,242,244
Northgrippian,Nor,stage,2,0.0082,0.0043,254,242,236
